               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11499,            0.094741,            0.097202,           0.0007764,            0.035714,          0.00087793,          8.7793e-05,             0.11386,            0.055422,            0.092959,               3e-05,               3e-05,             0.09973
                   1,             0.11985,            0.089216,             0.09563,          0.00075988,            0.035714,          0.00099734,          9.9734e-05,              0.1139,            0.055368,             0.09306,          6.9612e-05,          6.9612e-05,             0.09937
                   2,              0.1193,            0.068297,            0.092731,                   0,                   0,                   0,                   0,             0.11386,            0.055488,            0.093115,          0.00010758,          0.00010758,            0.099008
                   3,             0.11773,             0.10456,             0.09314,                   0,                   0,                   0,                   0,             0.11375,            0.055321,            0.093005,          0.00014264,          0.00014264,            0.098643
                   4,             0.11892,             0.11068,            0.094833,           0.0028183,            0.035714,           0.0022716,          0.00045431,             0.11354,            0.055246,             0.09295,          0.00017367,          0.00017367,            0.098274
                   5,             0.11764,            0.099867,            0.094918,             0.07697,            0.035714,           0.0031304,          0.00031304,             0.11359,            0.055005,            0.092881,          0.00019969,          0.00019969,              0.0979
                   6,             0.11929,              0.0645,             0.09419,            0.079002,            0.035714,           0.0052604,          0.00052604,             0.11338,            0.054952,            0.092804,          0.00021992,          0.00021992,             0.09752
                   7,             0.11663,            0.099828,            0.093181,                   0,                   0,                   0,                   0,             0.11355,            0.054681,            0.092651,          0.00023383,          0.00023383,            0.097134
                   8,             0.10926,            0.061181,            0.086208,                   0,                   0,                   0,                   0,             0.11352,            0.054462,            0.092666,          0.00024117,          0.00024117,            0.096741
                   9,              0.1068,            0.077245,            0.086469,             0.29115,            0.027193,           0.0037852,          0.00037852,             0.11314,            0.054654,            0.092728,          0.00024195,          0.00024195,            0.096342
                  10,             0.11649,            0.071583,             0.09269,             0.14768,            0.035714,           0.0032224,          0.00032224,             0.11282,             0.05474,            0.092741,           0.0002365,           0.0002365,            0.095937
                  11,             0.10042,             0.10032,            0.084957,                   0,                   0,                   0,                   0,             0.11244,            0.054773,             0.09268,          0.00022541,          0.00022541,            0.095525
                  12,              0.1183,             0.13138,            0.092666,                   0,                   0,                   0,                   0,             0.11233,            0.054846,             0.09266,          0.00020958,          0.00020958,             0.09511
                  13,            0.086791,            0.080864,            0.070942,                   0,                   0,                   0,                   0,             0.11192,            0.054921,            0.092613,          0.00019014,          0.00019014,             0.09469
                  14,             0.10998,             0.11152,            0.092389,                   0,                   0,                   0,                   0,             0.11211,            0.054758,             0.09255,          0.00016844,          0.00016844,            0.094268
                  15,             0.10525,            0.067219,            0.086139,                   0,                   0,                   0,                   0,             0.11207,            0.054736,            0.092522,          0.00014604,          0.00014604,            0.093846
                  16,              0.1037,            0.084482,             0.08434,                   0,                   0,                   0,                   0,             0.11188,            0.054691,            0.092485,          0.00012458,          0.00012458,            0.093425
                  17,             0.11498,             0.12191,            0.092035,                   0,                   0,                   0,                   0,             0.11148,            0.054893,            0.092501,          0.00010582,          0.00010582,            0.093006
                  18,             0.11075,             0.12758,            0.093516,                   0,                   0,                   0,                   0,             0.11119,             0.05493,            0.092548,          9.1518e-05,          9.1518e-05,            0.092592
                  19,             0.11125,             0.10511,            0.093286,                   0,                   0,                   0,                   0,             0.11101,            0.055079,            0.092549,          8.3377e-05,          8.3377e-05,            0.092183
